code,name
5296,MR D.I.Y. GROUP (M) BERHAD
5297,TUJU SETIA BERHAD
5298,OM HOLDINGS LIMITED
5299,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST
5300,YENHER HOLDINGS BERHAD
5301,CTOS DIGITAL BERHAD
5347,TENAGA NASIONAL BHD
5371,KIM HIN INDUSTRY BERHAD
5398,GAMUDA BERHAD
5401,TROPICANA CORPORATION BERHAD
5436,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD
5517,SHANGRI-LA HOTELS (MALAYSIA) BERHAD
5533,OCB BERHAD
5568,APB RESOURCES BERHAD
5576,MINHO (M) BERHAD
5592,GRAND CENTRAL ENTERPRISES BHD
5606,IGB BERHAD
5614,INTEGRATED LOGISTICS BHD
5622,PIMPINAN EHSAN BERHAD
5649,GOLDEN PHAROS BERHAD
5657,PARKSON HOLDINGS BERHAD
5665,SOUTHERN STEEL BERHAD
5673,IPMUDA BERHAD
5681,PETRONAS DAGANGAN BHD
5703,MUHIBBAH ENGINEERING (M) BHD
5738,COUNTRY HEIGHTS HOLDINGS BHD
5789,LBS BINA GROUP BERHAD
5797,CHOO BEE METAL INDUSTRIES BHD
5819,HONG LEONG BANK BERHAD
5827,ORIENTAL INTEREST BERHAD
5835,DOLOMITE CORPORATION BERHAD
5843,KUMPULAN PERANGSANG SELANGOR BERHAD
5878,KPJ HEALTHCARE BERHAD
5908,DKSH HOLDINGS (MALAYSIA) BERHAD
5916,MALAYSIA SMELTING CORPORATION BERHAD
5932,BINA PURI HOLDINGS BHD
5983,MBM RESOURCES BHD
6009,PACIFIC & ORIENT BERHAD
6012,MAXIS BERHAD
6017,SHL CONSOLIDATED BHD
6033,PETRONAS GAS BERHAD
6041,FARLIM GROUP (MALAYSIA) BHD
6068,PCCS GROUP BERHAD
6076,ENCORP BERHAD
6084,STAR MEDIA GROUP BERHAD
6114,MKH BERHAD
6139,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD
6149,METROD HOLDINGS BERHAD
6173,BINA DARULAMAN BERHAD
6181,MALTON BERHAD
6203,KHEE SAN BERHAD
6211,KIA LIM BERHAD
6238,HOCK SENG LEE BERHAD
6254,PDZ HOLDINGS BHD
6262,INNOPRISE PLANTATIONS BERHAD
6297,BOX-PAK (MALAYSIA) BERHAD
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD
6378,WMG HOLDINGS BERHAD
6399,ASTRO MALAYSIA HOLDINGS BERHAD
6432,APOLLO FOOD HOLDINGS BERHAD
6459,MNRB HOLDINGS BERHAD
6483,KENANGA INVESTMENT BANK BERHAD
6491,KUMPULAN FIMA BERHAD
6521,SURIA CAPITAL HOLDINGS BERHAD
6548,MALAYSIA PACIFIC CORPORATION BERHAD
6556,ANN JOO RESOURCES BERHAD
6599,AEON CO. (M) BHD
6602,BCB BERHAD
6633,LEONG HUP INTERNATIONAL BERHAD
6637,PNE PCB BERHAD
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD
6718,CRESCENDO CORPORATION BERHAD
6742,YTL POWER INTERNATIONAL BHD
6769,JKG LAND BERHAD
6807,PUNCAK NIAGA HOLDINGS BERHAD
6815,EUPE CORPORATION BERHAD
6874,KUB MALAYSIA BERHAD
6888,AXIATA GROUP BERHAD
6904,SUBUR TIASA HOLDINGS BERHAD
6912,PASDEC HOLDINGS BERHAD
6939,FIAMMA HOLDINGS BERHAD
6947,DIGI.COM BERHAD
6963,V.S. INDUSTRY BERHAD
6971,KOBAY TECHNOLOGY BERHAD
6998,BINTAI KINDEN CORPORATION BERHAD
7003,Y&G CORPORATION BHD
7004,MCE HOLDINGS BERHAD
7005,B.I.G. INDUSTRIES BERHAD
7006,LATITUDE TREE HOLDINGS BERHAD
7007,ARK RESOURCES HOLDINGS BERHAD
7010,GRAND HOOVER BERHAD
7013,HUBLINE BERHAD
7014,YLI HOLDINGS BERHAD
7016,CHUAN HUAT RESOURCES BHD
7017,KOMARKCORP BERHAD
7018,CME GROUP BERHAD
7020,YKGI HOLDINGS BERHAD
7022,GLOBETRONICS TECHNOLOGY BERHAD
7025,WOODLANDOR HOLDINGS BHD
7028,ZECON BERHAD
7029,MASTER-PACK GROUP BERHAD
7031,AMTEL HOLDINGS BERHAD
7033,KUMPULAN H & L HIGH-TECH BERHAD
7034,THONG GUAN INDUSTRIES BERHAD
7035,CCK CONSOLIDATED HOLDINGS BERHAD
7036,BORNEO OIL BERHAD
7043,JADE MARVEL GROUP BERHAD
7045,SCOMI ENERGY SERVICES BHD
7047,FAJARBARU BUILDER GROUP BHD
7048,ATLAN HOLDINGS BHD
7050,WONG ENGINEERING CORPORATION BERHAD
7052,PADINI HOLDINGS BERHAD
7053,SEE HUP CONSOLIDATED BERHAD
7054,ASTRAL ASIA BERHAD
7055,PLB ENGINEERING BERHAD
7060,NEW HOONG FATT HOLDINGS BERHAD
7062,KHIND HOLDINGS BERHAD
7066,YONG TAI BERHAD
