code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
2658,Consumer Products & Services,14.0,9.96,17.88,7.91,15.0,91.83,6.56,47.0,3.36,11.61
7609,Industrial Products & Services,0.34,0.2,0.53,1.19,14.0,2.51,7.38,0.0,0.0,2.11
5116,Real Estate Investment Trusts,1.37,1.19,1.65,1.3024,13.0,10.35,7.55,7.75,5.66,7.95
5269,Real Estate Investment Trusts,0.71,0.595,0.94,1.076,11.0,6.23,8.77,5.35,7.54,5.79
5115,Energy,0.08,0.03,0.2,0.37,-1.0,-6.35,-79.38,0.0,0.0,-17.16
2674,Industrial Products & Services,0.44,0.18,0.6,0.91,-336.0,-0.13,-0.3,0.0,0.0,-0.14
2488,Financial Services,2.04,1.48,3.9,3.82,7.0,28.29,13.87,16.7,8.19,7.41
1163,Financial Services,13.86,11.4,16.87,20.77,5.0,278.41,20.09,65.0,4.69,13.4
2682,Industrial Products & Services,0.19,0.16,0.33,0.9812,-10.0,-1.9,-10.0,0.0,0.0,-1.94
4952,Real Estate Investment Trusts,0.71,0.58,0.83,1.2674,12.0,5.79,8.15,5.75,8.1,4.57
5127,Real Estate Investment Trusts,0.68,0.5,0.86,1.3378,11.0,6.19,9.1,6.2,9.12,4.63
1007,Property,0.345,0.26,0.58,1.45,12.0,2.92,8.46,3.0,8.7,2.01
5293,Construction,1.62,1.01,2.05,1.45,11.0,15.28,9.43,0.0,0.0,10.54
5120,Real Estate Investment Trusts,0.45,0.32,0.515,1.219,15.0,3.04,6.76,4.0,8.89,2.49
1015,Financial Services,2.95,2.82,4.55,6.08,6.0,51.52,17.46,20.0,6.78,8.47
